sector_id,zona_altitud,centro_lat,centro_lon,altitud_promedio,altitud_minima,altitud_maxima,ubicacion_id
-177822_-631888,BAJA,-17.782251,-63.188832,435.2,435.2,435.2,3702
-177822_-631889,BAJA,-17.78227,-63.188936,435.2,435.2,435.2,3703
-177822_-631890,BAJA,-17.782228,-63.18904,435.1,434.9,435.2,3704
-177822_-631891,BAJA,-17.782259,-63.189135,435.2,435.2,435.2,3705
-177822_-631895,BAJA,-17.782253,-63.189566,434.88,434.7,435.0,3706
-177822_-631896,BAJA,-17.782266,-63.189644,434.9,434.9,434.9,3707
-177822_-631897,BAJA,-17.782228,-63.189799,434.8,434.8,434.8,3708
-177822_-631898,BAJA,-17.782225,-63.189802,435.2,435.2,435.2,3709
-177822_-631900,BAJA,-17.78224,-63.19003,434.6,434.4,434.8,3710
-177823_-630907,BAJA,-17.782374,-63.090757,415.5,415.5,415.5,3711
-177823_-631635,BAJA,-17.782364,-63.163583,438.18,436.47,439.89,3712
-177823_-631636,BAJA,-17.782377,-63.163652,436.11,436.11,436.11,3713
-177823_-631649,BAJA,-17.782305,-63.164981,444.79,444.79,444.79,3714
-177823_-631651,BAJA,-17.782313,-63.16516,442.73,442.73,442.73,3715
-177823_-631722,BAJA,-17.78237,-63.172262,437.7,437.7,437.7,3716
-177823_-631765,BAJA,-17.782317,-63.176541,440.1,440.1,440.1,3717
-177823_-631887,BAJA,-17.782312,-63.188764,435.2,435.2,435.2,3718
-177823_-631888,BAJA,-17.782336,-63.188854,435.3,435.2,435.5,3719
-177823_-631889,BAJA,-17.782314,-63.188957,435.2,435.2,435.2,3720
-177823_-631890,BAJA,-17.782316,-63.18909,435.2,435.2,435.2,3721
-177823_-631892,BAJA,-17.782343,-63.189269,434.9,434.9,434.9,3722
-177823_-631893,BAJA,-17.782303,-63.18931,435.2,435.2,435.2,3723
-177823_-631894,BAJA,-17.78231,-63.189473,435.0,435.0,435.0,3724
-177823_-631909,BAJA,-17.782368,-63.190969,434.5,434.5,434.5,3725
-177823_-631947,BAJA,-17.782396,-63.194795,437.4,437.4,437.4,3726
-177824_-630907,BAJA,-17.782469,-63.090758,415.67,415.5,415.8,3727
-177824_-630908,BAJA,-17.782491,-63.090813,415.59,415.5,415.8,3728
-177824_-631634,BAJA,-17.782474,-63.163487,432.77,432.77,432.77,3729
-177824_-631635,BAJA,-17.782473,-63.163524,426.81,424.56,428.99,3730
-177824_-631670,BAJA,-17.782495,-63.167002,435.9,435.9,435.9,3731
-177824_-631724,BAJA,-17.782405,-63.172452,438.5,438.5,438.5,3732
-177824_-631778,BAJA,-17.782479,-63.177806,440.9,440.9,440.9,3733
-177824_-631794,BAJA,-17.782467,-63.179465,441.4,441.4,441.4,3734
-177824_-631820,BAJA,-17.782459,-63.182095,442.5,442.5,442.5,3735
-177824_-631944,BAJA,-17.782485,-63.194405,436.7,436.7,436.7,3736
-177824_-631946,BAJA,-17.7825,-63.19466,435.4,435.4,435.4,3737
-177824_-631947,BAJA,-17.782454,-63.194718,435.82,435.4,437.5,3738
-177825_-630906,BAJA,-17.78255,-63.090639,415.57,415.5,415.6,3739
-177825_-630907,BAJA,-17.782514,-63.090741,415.52,415.3,415.7,3740
-177825_-630908,BAJA,-17.782537,-63.090836,415.5,415.5,415.5,3741
-177825_-630909,BAJA,-17.782588,-63.090927,415.5,415.5,415.5,3742
-177825_-631643,BAJA,-17.782517,-63.164305,434.0,434.0,434.0,3743
-177825_-631680,BAJA,-17.782582,-63.1681,436.8,436.8,436.8,3744
-177825_-631723,BAJA,-17.782508,-63.172388,437.7,437.7,437.7,3745
-177825_-631724,BAJA,-17.782543,-63.172413,438.3,438.3,438.3,3746
-177825_-631773,BAJA,-17.782599,-63.177354,440.7,440.7,440.7,3747
-177825_-631782,BAJA,-17.782516,-63.17828,440.9,440.9,440.9,3748
-177825_-631792,BAJA,-17.782584,-63.17923,440.8,440.8,440.8,3749
-177826_-631643,BAJA,-17.782621,-63.164347,434.4,434.3,434.5,3750
-177826_-631648,BAJA,-17.782663,-63.164805,434.8,434.8,434.8,3751
-177826_-631658,BAJA,-17.78269,-63.165876,432.25,432.25,432.25,3752
-177826_-631713,BAJA,-17.782668,-63.171365,438.2,438.2,438.2,3753
-177826_-631897,BAJA,-17.782655,-63.189775,435.1,435.1,435.1,3754
-177826_-631946,BAJA,-17.782637,-63.194655,435.5,435.5,435.5,3755
-177826_-631949,BAJA,-17.782659,-63.194932,435.9,435.9,435.9,3756
-177827_-631645,BAJA,-17.782748,-63.164532,434.3,434.3,434.3,3757
-177828_-631593,BAJA,-17.782847,-63.159388,432.6,432.6,432.6,3758
-177828_-631644,BAJA,-17.782856,-63.164491,434.3,434.3,434.3,3759
-177828_-631723,BAJA,-17.782854,-63.172387,438.3,438.3,438.3,3760
-177828_-632013,BAJA,-17.782893,-63.201395,436.1,436.1,436.1,3761
-177828_-632014,BAJA,-17.782886,-63.201409,436.1,436.1,436.1,3762
-177828_-632165,BAJA,-17.782849,-63.216572,437.5,437.5,437.5,3763
-177829_-631597,BAJA,-17.782974,-63.159789,433.1,433.1,433.1,3764
-177829_-631598,BAJA,-17.782967,-63.159816,433.16,433.1,433.2,3765
-177829_-631644,BAJA,-17.782924,-63.164438,434.1,434.1,434.1,3766
-177829_-631648,BAJA,-17.782982,-63.164833,434.3,434.3,434.3,3767
-177829_-631711,BAJA,-17.782933,-63.17115,437.4,437.4,437.4,3768
-177829_-631718,BAJA,-17.782973,-63.171897,437.5,437.5,437.5,3769
-177829_-631719,BAJA,-17.782911,-63.171926,437.5,437.5,437.5,3770
-177829_-631723,BAJA,-17.782983,-63.172386,437.6,437.6,437.6,3771
-177829_-631909,BAJA,-17.78298,-63.190903,435.1,435.1,435.1,3772
-177829_-632014,BAJA,-17.782929,-63.201422,436.08,436.0,436.1,3773
-177830_-631598,BAJA,-17.783019,-63.159813,433.2,433.2,433.2,3774
-177830_-631720,BAJA,-17.783002,-63.172021,437.5,437.5,437.5,3775
-177830_-631945,BAJA,-17.783025,-63.194568,448.9,448.9,448.9,3776
-177830_-632163,BAJA,-17.783003,-63.216344,432.76,432.76,432.76,3777
-177831_-631719,BAJA,-17.783151,-63.171967,437.65,437.6,437.7,3778
-177831_-631773,BAJA,-17.783176,-63.177315,440.7,440.7,440.7,3779
-177831_-631947,BAJA,-17.783161,-63.194765,436.03,435.7,436.4,3780
-177832_-632014,BAJA,-17.78328,-63.201487,436.3,436.3,436.3,3781
-177832_-632015,BAJA,-17.783286,-63.201541,436.3,436.3,436.3,3782
-177832_-632016,BAJA,-17.783294,-63.201624,438.1,438.1,438.1,3783
-177833_-631647,BAJA,-17.783346,-63.164759,437.95,437.95,437.95,3784
-177833_-631722,BAJA,-17.783385,-63.172292,437.5,437.5,437.5,3785
-177833_-631945,BAJA,-17.783369,-63.194512,435.5,435.5,435.5,3786
-177833_-631951,BAJA,-17.783388,-63.19515,436.3,436.3,436.3,3787
-177834_-631925,BAJA,-17.783414,-63.192502,435.0,435.0,435.0,3788
-177834_-631951,BAJA,-17.783456,-63.195154,435.7,435.7,435.7,3789
-177835_-631772,BAJA,-17.783551,-63.177244,441.3,441.3,441.3,3790
-177836_-631722,BAJA,-17.783636,-63.172269,437.7,437.7,437.7,3791
-177837_-631721,BAJA,-17.783795,-63.172184,437.8,437.8,437.8,3792
-177837_-631812,BAJA,-17.783784,-63.181222,0.0,0.0,0.0,3793
-177837_-631946,BAJA,-17.78373,-63.194695,435.7,435.7,435.7,3794
-177837_-632001,BAJA,-17.783784,-63.200144,0.0,0.0,0.0,3795
-177838_-631475,BAJA,-17.783841,-63.147563,430.2,430.2,430.2,3796
